,Sentiment
151,positive
114,positive
49,negative
16,positive
54,negative
231,negative
90,negative
143,positive
42,positive
282,negative
103,negative
133,positive
173,negative
44,positive
153,negative
147,positive
289,positive
286,negative
0,positive
86,positive
230,negative
35,negative
287,positive
62,negative
225,negative
265,negative
5,negative
33,positive
176,negative
161,positive
140,positive
134,positive
206,positive
144,positive
250,negative
87,positive
112,positive
101,positive
26,negative
136,positive
219,negative
241,positive
155,negative
56,negative
175,negative
17,negative
270,negative
85,positive
152,negative
171,positive
189,negative
199,positive
245,negative
226,negative
214,negative
119,positive
28,negative
81,positive
257,negative
247,negative
288,positive
149,positive
169,negative
10,negative
165,negative
79,positive
75,positive
163,positive
2,negative
97,negative
269,negative
64,negative
89,negative
74,positive
93,negative
24,negative
279,negative
186,negative
179,negative
237,positive
292,positive
40,negative
52,negative
233,positive
217,negative
122,positive
194,negative
191,negative
228,negative
98,positive
285,negative
67,negative
38,negative
246,negative
48,negative
264,negative
142,positive
146,positive
25,negative
124,positive
110,positive
297,positive
138,positive
131,positive
66,positive
253,negative
135,positive
106,negative
4,negative
15,negative
278,positive
252,negative
68,negative
276,negative
267,negative
261,negative
268,negative
184,positive
150,positive
58,positive
211,positive
170,positive
123,positive
108,negative
180,negative
193,positive
88,negative
145,positive
251,positive
117,positive
254,negative
148,positive
61,negative
139,positive
298,positive
45,positive
158,positive
76,positive
263,negative
125,positive
172,positive
47,negative
275,negative
78,negative
107,negative
41,positive
20,negative
50,positive
51,negative
32,positive
274,negative
256,negative
94,negative
21,negative
260,negative
27,negative
116,positive
120,positive
203,positive
220,positive
12,negative
290,positive
82,negative
84,positive
216,negative
207,positive
185,negative
71,negative
208,positive
14,negative
34,negative
248,positive
72,negative
181,positive
162,positive
1,positive
129,positive
259,negative
280,negative
63,negative
239,positive
232,negative
102,positive
36,negative
215,negative
83,positive
249,negative
57,negative
70,negative
99,positive
281,negative
213,negative
154,negative
111,positive
118,positive
224,positive
242,positive
218,positive
238,positive
95,negative
100,negative
222,positive
296,positive
80,negative
109,positive
283,negative
31,negative
229,negative
60,negative
30,negative
284,negative
212,negative
244,positive
291,positive
201,positive
299,negative
132,positive
22,positive
204,positive
187,negative
105,negative
273,negative
209,positive
159,negative
8,negative
182,positive
227,negative
73,negative
91,negative
55,negative
160,negative
19,negative
115,positive
271,positive
195,negative
166,negative
7,negative
221,negative
